Activity,Set #,Weight,Reps,Date,Volume,LLTB,Core,PDT,GHQC,Sum,DOW,Month,Break Time
Squat,3.0,45.0,10.0,2021-06-10,450.0,45.0,45.0,0.0,360.0,450.0,Thursday,6.0,90
Squat,4.0,45.0,10.0,2021-06-10,450.0,45.0,45.0,0.0,360.0,450.0,Thursday,6.0,120
Squat,5.0,45.0,10.0,2021-06-10,450.0,45.0,45.0,0.0,360.0,450.0,Thursday,6.0,150
Deadlift,6.0,115.0,5.0,2021-06-10,575.0,172.5,57.5,0.0,345.0,575.0,Thursday,6.0,120
Deadlift,7.0,115.0,3.0,2021-06-10,345.0,103.5,34.5,0.0,207.0,345.0,Thursday,6.0,90
Shoulder Press,1.0,35.0,10.0,2021-06-11,350.0,35.0,0.0,315.0,0.0,350.0,Friday,6.0,60
Shoulder Press,2.0,35.0,10.0,2021-06-11,350.0,35.0,0.0,315.0,0.0,350.0,Friday,6.0,120
Shoulder Press,3.0,35.0,10.0,2021-06-11,350.0,35.0,0.0,315.0,0.0,350.0,Friday,6.0,120
Shoulder Press,4.0,35.0,10.0,2021-06-11,350.0,35.0,0.0,315.0,0.0,350.0,Friday,6.0,90
Shoulder Press,5.0,35.0,10.0,2021-06-11,350.0,35.0,0.0,315.0,0.0,350.0,Friday,6.0,60
Bench Press,1.0,70.0,5.0,2021-06-11,350.0,0.0,35.0,315.0,0.0,350.0,Friday,6.0,90
Bench Press,2.0,80.0,5.0,2021-06-11,400.0,0.0,40.0,360.0,0.0,400.0,Friday,6.0,90
Bench Press,3.0,90.0,12.0,2021-06-11,1080.0,0.0,108.0,972.0,0.0,1080.0,Friday,6.0,120
Bench Press,4.0,90.0,10.0,2021-06-11,900.0,0.0,90.0,810.0,0.0,900.0,Friday,6.0,60
Barbell Row,1.0,50.0,10.0,2021-06-11,500.0,450.0,0.0,0.0,50.0,500.0,Friday,6.0,90
Barbell Row,2.0,50.0,10.0,2021-06-11,500.0,450.0,0.0,0.0,50.0,500.0,Friday,6.0,90
Barbell Row,3.0,50.0,10.0,2021-06-11,500.0,450.0,0.0,0.0,50.0,500.0,Friday,6.0,120
Barbell Row,4.0,50.0,10.0,2021-06-11,500.0,450.0,0.0,0.0,50.0,500.0,Friday,6.0,90
Barbell Row,5.0,50.0,10.0,2021-06-11,500.0,450.0,0.0,0.0,50.0,500.0,Friday,6.0,120
Squat,1.0,45.0,10.0,2021-06-12,450.0,45.0,45.0,0.0,360.0,450.0,Saturday,6.0,90
Squat,2.0,55.0,8.0,2021-06-12,440.0,44.0,44.0,0.0,352.0,440.0,Saturday,6.0,120
Squat,3.0,65.0,6.0,2021-06-12,390.0,39.0,39.0,0.0,312.0,390.0,Saturday,6.0,150
Deadlift,1.0,70.0,10.0,2021-06-12,700.0,210.0,70.0,0.0,420.0,700.0,Saturday,6.0,30
Deadlift,2.0,70.0,10.0,2021-06-12,700.0,210.0,70.0,0.0,420.0,700.0,Saturday,6.0,60
Deadlift,3.0,70.0,10.0,2021-06-12,700.0,210.0,70.0,0.0,420.0,700.0,Saturday,6.0,60
Deadlift,4.0,70.0,10.0,2021-06-12,700.0,210.0,70.0,0.0,420.0,700.0,Saturday,6.0,150
Deadlift,5.0,70.0,10.0,2021-06-12,700.0,210.0,70.0,0.0,420.0,700.0,Saturday,6.0,90
Bench Press,1.0,85.0,5.0,2021-06-13,425.0,0.0,42.5,382.5,0.0,425.0,Sunday,6.0,120
Bench Press,2.0,95.0,5.0,2021-06-13,475.0,0.0,47.5,427.5,0.0,475.0,Sunday,6.0,60
Bench Press,3.0,105.0,3.0,2021-06-13,315.0,0.0,31.5,283.5,0.0,315.0,Sunday,6.0,30
Bench Press,4.0,115.0,3.0,2021-06-13,345.0,0.0,34.5,310.5,0.0,345.0,Sunday,6.0,60
Bench Press,5.0,125.0,2.0,2021-06-13,250.0,0.0,25.0,225.0,0.0,250.0,Sunday,6.0,120
Shoulder Press,1.0,50.0,10.0,2021-06-13,500.0,50.0,0.0,450.0,0.0,500.0,Sunday,6.0,30
Shoulder Press,2.0,50.0,10.0,2021-06-13,500.0,50.0,0.0,450.0,0.0,500.0,Sunday,6.0,90
Shoulder Press,3.0,50.0,10.0,2021-06-13,500.0,50.0,0.0,450.0,0.0,500.0,Sunday,6.0,120
Shoulder Press,4.0,50.0,10.0,2021-06-13,500.0,50.0,0.0,450.0,0.0,500.0,Sunday,6.0,120
Shoulder Press,5.0,50.0,10.0,2021-06-13,500.0,50.0,0.0,450.0,0.0,500.0,Sunday,6.0,90
Barbell Row,1.0,90.0,10.0,2021-06-13,900.0,810.0,0.0,0.0,90.0,900.0,Sunday,6.0,90
Barbell Row,2.0,90.0,10.0,2021-06-13,900.0,810.0,0.0,0.0,90.0,900.0,Sunday,6.0,120
Barbell Row,3.0,90.0,10.0,2021-06-13,900.0,810.0,0.0,0.0,90.0,900.0,Sunday,6.0,150
Barbell Row,4.0,80.0,10.0,2021-06-13,800.0,720.0,0.0,0.0,80.0,800.0,Sunday,6.0,120
Barbell Row,5.0,80.0,10.0,2021-06-13,800.0,720.0,0.0,0.0,80.0,800.0,Sunday,6.0,90
Shoulder Press,1.0,35.0,5.0,2021-06-14,175.0,17.5,0.0,157.5,0.0,175.0,Monday,6.0,120
Shoulder Press,2.0,45.0,5.0,2021-06-14,225.0,22.5,0.0,202.5,0.0,225.0,Monday,6.0,150
Shoulder Press,3.0,55.0,5.0,2021-06-14,275.0,27.5,0.0,247.5,0.0,275.0,Monday,6.0,90
Shoulder Press,4.0,65.0,5.0,2021-06-14,325.0,32.5,0.0,292.5,0.0,325.0,Monday,6.0,120
Shoulder Press,5.0,75.0,6.0,2021-06-14,450.0,45.0,0.0,405.0,0.0,450.0,Monday,6.0,90
Bench Press,1.0,65.0,10.0,2021-06-14,650.0,0.0,65.0,585.0,0.0,650.0,Monday,6.0,180
Bench Press,2.0,65.0,10.0,2021-06-14,650.0,0.0,65.0,585.0,0.0,650.0,Monday,6.0,120
Bench Press,3.0,70.0,10.0,2021-06-14,700.0,0.0,70.0,630.0,0.0,700.0,Monday,6.0,180
Bench Press,4.0,70.0,10.0,2021-06-14,700.0,0.0,70.0,630.0,0.0,700.0,Monday,6.0,90
Bench Press,5.0,70.0,20.0,2021-06-14,1400.0,0.0,140.0,1260.0,0.0,1400.0,Monday,6.0,120
Barbell Row,1.0,80.0,10.0,2021-06-14,800.0,720.0,0.0,0.0,80.0,800.0,Monday,6.0,60
Barbell Row,2.0,80.0,10.0,2021-06-14,800.0,720.0,0.0,0.0,80.0,800.0,Monday,6.0,120
Barbell Row,3.0,80.0,10.0,2021-06-14,800.0,720.0,0.0,0.0,80.0,800.0,Monday,6.0,60
Barbell Row,4.0,80.0,10.0,2021-06-14,800.0,720.0,0.0,0.0,80.0,800.0,Monday,6.0,90
Barbell Row,5.0,80.0,10.0,2021-06-14,800.0,720.0,0.0,0.0,80.0,800.0,Monday,6.0,60
Shoulder Press,1.0,30.0,5.0,2021-06-15,150.0,15.0,0.0,135.0,0.0,150.0,Tuesday,6.0,180
Shoulder Press,2.0,35.0,5.0,2021-06-15,175.0,17.5,0.0,157.5,0.0,175.0,Tuesday,6.0,120
Shoulder Press,3.0,40.0,10.0,2021-06-15,400.0,40.0,0.0,360.0,0.0,400.0,Tuesday,6.0,90
Shoulder Press,4.0,45.0,5.0,2021-06-15,225.0,22.5,0.0,202.5,0.0,225.0,Tuesday,6.0,150
Shoulder Press,5.0,50.0,5.0,2021-06-15,250.0,25.0,0.0,225.0,0.0,250.0,Tuesday,6.0,120
Shoulder Press,6.0,55.0,4.0,2021-06-15,220.0,22.0,0.0,198.0,0.0,220.0,Tuesday,6.0,120
Shoulder Press,7.0,55.0,4.0,2021-06-15,220.0,22.0,0.0,198.0,0.0,220.0,Tuesday,6.0,90
Medicine Ball Chest Pass,1.0,70.0,10.0,2021-06-15,700.0,0.0,70.0,630.0,0.0,700.0,Tuesday,6.0,120
Medicine Ball Chest Pass,2.0,85.0,8.0,2021-06-15,680.0,0.0,68.0,612.0,0.0,680.0,Tuesday,6.0,150
Medicine Ball Chest Pass,3.0,85.0,5.0,2021-06-15,425.0,0.0,42.5,382.5,0.0,425.0,Tuesday,6.0,90
Barbell Row,1.0,85.0,10.0,2021-06-15,850.0,765.0,0.0,0.0,85.0,850.0,Tuesday,6.0,60
Barbell Row,2.0,100.0,5.0,2021-06-15,500.0,450.0,0.0,0.0,50.0,500.0,Tuesday,6.0,90
Barbell Row,3.0,100.0,5.0,2021-06-15,500.0,450.0,0.0,0.0,50.0,500.0,Tuesday,6.0,120
Barbell Row,4.0,85.0,6.0,2021-06-15,510.0,459.0,0.0,0.0,51.0,510.0,Tuesday,6.0,150
Single Leg Romanian Deadlift,1.0,70.0,10.0,2021-06-15,700.0,0.0,70.0,0.0,630.0,700.0,Tuesday,6.0,120
Single Leg Romanian Deadlift,2.0,70.0,10.0,2021-06-15,700.0,0.0,70.0,0.0,630.0,700.0,Tuesday,6.0,150
Single Leg Romanian Deadlift,3.0,70.0,10.0,2021-06-15,700.0,0.0,70.0,0.0,630.0,700.0,Tuesday,6.0,120
Single Leg Romanian Deadlift,4.0,70.0,10.0,2021-06-15,700.0,0.0,70.0,0.0,630.0,700.0,Tuesday,6.0,120
Single Leg Romanian Deadlift,5.0,70.0,10.0,2021-06-15,700.0,0.0,70.0,0.0,630.0,700.0,Tuesday,6.0,90
Bench Press,1.0,40.0,10.0,2021-06-15,400.0,0.0,40.0,360.0,0.0,400.0,Tuesday,6.0,60
Bench Press,2.0,45.0,10.0,2021-06-15,450.0,0.0,45.0,405.0,0.0,450.0,Tuesday,6.0,120
Bench Press,3.0,45.0,10.0,2021-06-15,450.0,0.0,45.0,405.0,0.0,450.0,Tuesday,6.0,60
Bench Press,4.0,50.0,10.0,2021-06-15,500.0,0.0,50.0,450.0,0.0,500.0,Tuesday,6.0,90
Bench Press,5.0,50.0,10.0,2021-06-15,500.0,0.0,50.0,450.0,0.0,500.0,Tuesday,6.0,60
Bench Press,6.0,55.0,10.0,2021-06-15,550.0,0.0,55.0,495.0,0.0,550.0,Tuesday,6.0,60
Medicine Ball Lateral Throws,1.0,20.0,10.0,2021-06-16,200.0,,,,,0.0,Wednesday,6.0,150
Medicine Ball Lateral Throws,2.0,20.0,10.0,2021-06-16,200.0,,,,,0.0,Wednesday,6.0,60
Medicine Ball Lateral Throws,3.0,20.0,10.0,2021-06-16,200.0,,,,,0.0,Wednesday,6.0,60
Bench Press,1.0,40.0,10.0,2021-06-16,400.0,0.0,40.0,360.0,0.0,400.0,Wednesday,6.0,60
Bench Press,2.0,40.0,10.0,2021-06-16,400.0,0.0,40.0,360.0,0.0,400.0,Wednesday,6.0,60
Bench Press,3.0,40.0,10.0,2021-06-16,400.0,0.0,40.0,360.0,0.0,400.0,Wednesday,6.0,120
Bulgarian Squat,1.0,120.0,10.0,2021-06-16,1200.0,0.0,120.0,0.0,1080.0,1200.0,Wednesday,6.0,90
Bulgarian Squat,2.0,120.0,10.0,2021-06-16,1200.0,0.0,120.0,0.0,1080.0,1200.0,Wednesday,6.0,150
Bulgarian Squat,3.0,120.0,10.0,2021-06-16,1200.0,0.0,120.0,0.0,1080.0,1200.0,Wednesday,6.0,120
Front Squat,1.0,70.0,10.0,2021-06-16,700.0,0.0,70.0,0.0,630.0,700.0,Wednesday,6.0,90
Front Squat,2.0,70.0,10.0,2021-06-16,700.0,0.0,70.0,0.0,630.0,700.0,Wednesday,6.0,90
Front Squat,3.0,70.0,10.0,2021-06-16,700.0,0.0,70.0,0.0,630.0,700.0,Wednesday,6.0,60
Single Leg Romanian Deadlift,1.0,77.0,10.0,2021-06-16,770.0,0.0,77.0,0.0,693.0,770.0,Wednesday,6.0,120
Single Leg Romanian Deadlift,2.0,77.0,10.0,2021-06-16,770.0,0.0,77.0,0.0,693.0,770.0,Wednesday,6.0,90
Single Leg Romanian Deadlift,3.0,77.0,10.0,2021-06-16,770.0,0.0,77.0,0.0,693.0,770.0,Wednesday,6.0,120
Tricep Extension,1.0,27.0,7.0,2021-06-16,189.0,0.0,0.0,189.0,0.0,189.0,Wednesday,6.0,90
Tricep Extension,2.0,27.0,7.0,2021-06-16,189.0,0.0,0.0,189.0,0.0,189.0,Wednesday,6.0,120
Tricep Extension,3.0,27.0,7.0,2021-06-16,189.0,0.0,0.0,189.0,0.0,189.0,Wednesday,6.0,90
Bench Press,1.0,80.0,5.0,2021-06-17,400.0,0.0,40.0,360.0,0.0,400.0,Thursday,6.0,120
Bench Press,2.0,90.0,5.0,2021-06-17,450.0,0.0,45.0,405.0,0.0,450.0,Thursday,6.0,150
Bench Press,3.0,105.0,8.0,2021-06-17,840.0,0.0,84.0,756.0,0.0,840.0,Thursday,6.0,60
Bench Press,4.0,105.0,5.0,2021-06-17,525.0,0.0,52.5,472.5,0.0,525.0,Thursday,6.0,60
Bench Press,5.0,105.0,3.0,2021-06-17,315.0,0.0,31.5,283.5,0.0,315.0,Thursday,6.0,90
Shoulder Press,1.0,45.0,10.0,2021-06-17,450.0,45.0,0.0,405.0,0.0,450.0,Thursday,6.0,60
Shoulder Press,2.0,45.0,10.0,2021-06-17,450.0,45.0,0.0,405.0,0.0,450.0,Thursday,6.0,120
Shoulder Press,3.0,45.0,10.0,2021-06-17,450.0,45.0,0.0,405.0,0.0,450.0,Thursday,6.0,30
Shoulder Press,4.0,45.0,10.0,2021-06-17,450.0,45.0,0.0,405.0,0.0,450.0,Thursday,6.0,90
Shoulder Press,5.0,45.0,10.0,2021-06-17,450.0,45.0,0.0,405.0,0.0,450.0,Thursday,6.0,120
Barbell Row,1.0,70.0,10.0,2021-06-17,700.0,630.0,0.0,0.0,70.0,700.0,Thursday,6.0,60
Barbell Row,2.0,70.0,10.0,2021-06-17,700.0,630.0,0.0,0.0,70.0,700.0,Thursday,6.0,60
Barbell Row,3.0,70.0,10.0,2021-06-17,700.0,630.0,0.0,0.0,70.0,700.0,Thursday,6.0,90
Barbell Row,4.0,70.0,10.0,2021-06-17,700.0,630.0,0.0,0.0,70.0,700.0,Thursday,6.0,120
Barbell Row,5.0,70.0,10.0,2021-06-17,700.0,630.0,0.0,0.0,70.0,700.0,Thursday,6.0,150
Squat,1.0,80.0,5.0,2021-06-18,400.0,40.0,40.0,0.0,320.0,400.0,Friday,6.0,90
Squat,2.0,90.0,5.0,2021-06-18,450.0,45.0,45.0,0.0,360.0,450.0,Friday,6.0,150
Squat,3.0,100.0,5.0,2021-06-18,500.0,50.0,50.0,0.0,400.0,500.0,Friday,6.0,120
Squat,4.0,110.0,5.0,2021-06-18,550.0,55.0,55.0,0.0,440.0,550.0,Friday,6.0,150
Squat,5.0,120.0,3.0,2021-06-18,360.0,36.0,36.0,0.0,288.0,360.0,Friday,6.0,60
Deadlift,1.0,80.0,10.0,2021-06-18,800.0,240.0,80.0,0.0,480.0,800.0,Friday,6.0,150
Deadlift,2.0,80.0,10.0,2021-06-18,800.0,240.0,80.0,0.0,480.0,800.0,Friday,6.0,90
Deadlift,3.0,80.0,10.0,2021-06-18,800.0,240.0,80.0,0.0,480.0,800.0,Friday,6.0,90
Deadlift,4.0,80.0,10.0,2021-06-18,800.0,240.0,80.0,0.0,480.0,800.0,Friday,6.0,150
Deadlift,5.0,80.0,10.0,2021-06-18,800.0,240.0,80.0,0.0,480.0,800.0,Friday,6.0,150
Shoulder Press,1.0,55.0,5.0,2021-06-19,275.0,27.5,0.0,247.5,0.0,275.0,Saturday,6.0,150
Shoulder Press,2.0,60.0,5.0,2021-06-19,300.0,30.0,0.0,270.0,0.0,300.0,Saturday,6.0,120
Shoulder Press,3.0,65.0,5.0,2021-06-19,325.0,32.5,0.0,292.5,0.0,325.0,Saturday,6.0,30
Shoulder Press,4.0,70.0,5.0,2021-06-19,350.0,35.0,0.0,315.0,0.0,350.0,Saturday,6.0,120
Shoulder Press,5.0,75.0,7.0,2021-06-19,525.0,52.5,0.0,472.5,0.0,525.0,Saturday,6.0,90
Shoulder Press,6.0,70.0,6.0,2021-06-19,420.0,42.0,0.0,378.0,0.0,420.0,Saturday,6.0,180
Shoulder Press,7.0,65.0,7.0,2021-06-19,455.0,45.5,0.0,409.5,0.0,455.0,Saturday,6.0,60
Shoulder Press,8.0,60.0,7.0,2021-06-19,420.0,42.0,0.0,378.0,0.0,420.0,Saturday,6.0,90
Shoulder Press,9.0,55.0,5.0,2021-06-19,275.0,27.5,0.0,247.5,0.0,275.0,Saturday,6.0,90
Shoulder Press,10.0,50.0,8.0,2021-06-19,400.0,40.0,0.0,360.0,0.0,400.0,Saturday,6.0,60
Bench Press,1.0,80.0,10.0,2021-06-19,800.0,0.0,80.0,720.0,0.0,800.0,Saturday,6.0,90
Bench Press,2.0,80.0,10.0,2021-06-19,800.0,0.0,80.0,720.0,0.0,800.0,Saturday,6.0,90
Bench Press,3.0,80.0,10.0,2021-06-19,800.0,0.0,80.0,720.0,0.0,800.0,Saturday,6.0,120
Bench Press,4.0,80.0,10.0,2021-06-19,800.0,0.0,80.0,720.0,0.0,800.0,Saturday,6.0,90
Bench Press,5.0,80.0,10.0,2021-06-19,800.0,0.0,80.0,720.0,0.0,800.0,Saturday,6.0,120
Barbell Row,1.0,90.0,10.0,2021-06-19,900.0,810.0,0.0,0.0,90.0,900.0,Saturday,6.0,90
Barbell Row,2.0,90.0,10.0,2021-06-19,900.0,810.0,0.0,0.0,90.0,900.0,Saturday,6.0,60
Barbell Row,3.0,90.0,10.0,2021-06-19,900.0,810.0,0.0,0.0,90.0,900.0,Saturday,6.0,60
Barbell Row,4.0,80.0,10.0,2021-06-19,800.0,720.0,0.0,0.0,80.0,800.0,Saturday,6.0,60
Barbell Row,5.0,80.0,10.0,2021-06-19,800.0,720.0,0.0,0.0,80.0,800.0,Saturday,6.0,150
Bicep Curl,1.0,30.0,10.0,2021-06-19,300.0,300.0,0.0,0.0,0.0,300.0,Saturday,6.0,120
Bicep Curl,2.0,30.0,10.0,2021-06-19,300.0,300.0,0.0,0.0,0.0,300.0,Saturday,6.0,150
Tricep Extension,1.0,20.0,10.0,2021-06-19,200.0,0.0,0.0,200.0,0.0,200.0,Saturday,6.0,90
Tricep Extension,2.0,20.0,10.0,2021-06-19,200.0,0.0,0.0,200.0,0.0,200.0,Saturday,6.0,120
Bench Press,1.0,100.0,5.0,2021-06-20,500.0,0.0,50.0,450.0,0.0,500.0,Sunday,6.0,90
Bench Press,2.0,115.0,3.0,2021-06-20,345.0,0.0,34.5,310.5,0.0,345.0,Sunday,6.0,90
Bench Press,3.0,125.0,2.0,2021-06-20,250.0,0.0,25.0,225.0,0.0,250.0,Sunday,6.0,60
Bench Press,4.0,120.0,3.0,2021-06-20,360.0,0.0,36.0,324.0,0.0,360.0,Sunday,6.0,90
Bench Press,5.0,110.0,5.0,2021-06-20,550.0,0.0,55.0,495.0,0.0,550.0,Sunday,6.0,90
Bench Press,6.0,100.0,5.0,2021-06-20,500.0,0.0,50.0,450.0,0.0,500.0,Sunday,6.0,150
Shoulder Press,1.0,50.0,10.0,2021-06-20,500.0,50.0,0.0,450.0,0.0,500.0,Sunday,6.0,90
Shoulder Press,2.0,50.0,10.0,2021-06-20,500.0,50.0,0.0,450.0,0.0,500.0,Sunday,6.0,120
Shoulder Press,3.0,50.0,10.0,2021-06-20,500.0,50.0,0.0,450.0,0.0,500.0,Sunday,6.0,90
Shoulder Press,4.0,50.0,10.0,2021-06-20,500.0,50.0,0.0,450.0,0.0,500.0,Sunday,6.0,120
Shoulder Press,5.0,50.0,10.0,2021-06-20,500.0,50.0,0.0,450.0,0.0,500.0,Sunday,6.0,30
Barbell Row,1.0,100.0,10.0,2021-06-20,1000.0,900.0,0.0,0.0,100.0,1000.0,Sunday,6.0,60
Barbell Row,2.0,100.0,10.0,2021-06-20,1000.0,900.0,0.0,0.0,100.0,1000.0,Sunday,6.0,90
Barbell Row,3.0,100.0,10.0,2021-06-20,1000.0,900.0,0.0,0.0,100.0,1000.0,Sunday,6.0,90
Barbell Row,4.0,100.0,10.0,2021-06-20,1000.0,900.0,0.0,0.0,100.0,1000.0,Sunday,6.0,180
Barbell Row,5.0,100.0,10.0,2021-06-20,1000.0,900.0,0.0,0.0,100.0,1000.0,Sunday,6.0,120
Shoulder Press,1.0,40.0,5.0,2021-06-21,200.0,20.0,0.0,180.0,0.0,200.0,Monday,6.0,120
Shoulder Press,2.0,45.0,5.0,2021-06-21,225.0,22.5,0.0,202.5,0.0,225.0,Monday,6.0,90
Shoulder Press,3.0,50.0,5.0,2021-06-21,250.0,25.0,0.0,225.0,0.0,250.0,Monday,6.0,120
Shoulder Press,4.0,55.0,5.0,2021-06-21,275.0,27.5,0.0,247.5,0.0,275.0,Monday,6.0,90
Shoulder Press,5.0,60.0,8.0,2021-06-21,480.0,48.0,0.0,432.0,0.0,480.0,Monday,6.0,60
Bench Press,1.0,60.0,10.0,2021-06-21,600.0,0.0,60.0,540.0,0.0,600.0,Monday,6.0,120
Bench Press,2.0,60.0,10.0,2021-06-21,600.0,0.0,60.0,540.0,0.0,600.0,Monday,6.0,60
Bench Press,3.0,60.0,10.0,2021-06-21,600.0,0.0,60.0,540.0,0.0,600.0,Monday,6.0,90
Bench Press,4.0,60.0,10.0,2021-06-21,600.0,0.0,60.0,540.0,0.0,600.0,Monday,6.0,90
Bench Press,5.0,60.0,13.0,2021-06-21,780.0,0.0,78.0,702.0,0.0,780.0,Monday,6.0,120
Barbell Row,1.0,60.0,10.0,2021-06-21,600.0,540.0,0.0,0.0,60.0,600.0,Monday,6.0,90
Barbell Row,2.0,60.0,10.0,2021-06-21,600.0,540.0,0.0,0.0,60.0,600.0,Monday,6.0,60
Barbell Row,3.0,60.0,10.0,2021-06-21,600.0,540.0,0.0,0.0,60.0,600.0,Monday,6.0,90
Barbell Row,4.0,60.0,10.0,2021-06-21,600.0,540.0,0.0,0.0,60.0,600.0,Monday,6.0,120
Barbell Row,5.0,60.0,10.0,2021-06-21,600.0,540.0,0.0,0.0,60.0,600.0,Monday,6.0,30
Deadlift,1.0,80.0,5.0,2021-06-22,400.0,120.0,40.0,0.0,240.0,400.0,Tuesday,6.0,90
Deadlift,2.0,90.0,5.0,2021-06-22,450.0,135.0,45.0,0.0,270.0,450.0,Tuesday,6.0,90
Deadlift,3.0,100.0,9.0,2021-06-22,900.0,270.0,90.0,0.0,540.0,900.0,Tuesday,6.0,90
Deadlift,4.0,100.0,3.0,2021-06-22,300.0,90.0,30.0,0.0,180.0,300.0,Tuesday,6.0,90
Deadlift,5.0,125.0,1.0,2021-06-22,125.0,37.5,12.5,0.0,75.0,125.0,Tuesday,6.0,90
Squat,1.0,60.0,10.0,2021-06-22,600.0,60.0,60.0,0.0,480.0,600.0,Tuesday,6.0,120
Squat,2.0,60.0,10.0,2021-06-22,600.0,60.0,60.0,0.0,480.0,600.0,Tuesday,6.0,120
Squat,3.0,60.0,10.0,2021-06-22,600.0,60.0,60.0,0.0,480.0,600.0,Tuesday,6.0,120
Squat,4.0,60.0,10.0,2021-06-22,600.0,60.0,60.0,0.0,480.0,600.0,Tuesday,6.0,60
Squat,5.0,60.0,10.0,2021-06-22,600.0,60.0,60.0,0.0,480.0,600.0,Tuesday,6.0,120
Bicep Curl,1.0,70.0,6.0,2021-06-23,420.0,420.0,0.0,0.0,0.0,420.0,Wednesday,6.0,120
Bicep Curl,2.0,60.0,6.0,2021-06-23,360.0,360.0,0.0,0.0,0.0,360.0,Wednesday,6.0,30
Bicep Curl,3.0,60.0,5.0,2021-06-23,300.0,300.0,0.0,0.0,0.0,300.0,Wednesday,6.0,180
Bench Press,1.0,60.0,10.0,2021-06-23,600.0,0.0,60.0,540.0,0.0,600.0,Wednesday,6.0,120
Bench Press,2.0,60.0,10.0,2021-06-23,600.0,0.0,60.0,540.0,0.0,600.0,Wednesday,6.0,120
Bench Press,3.0,60.0,10.0,2021-06-23,600.0,0.0,60.0,540.0,0.0,600.0,Wednesday,6.0,120
Tricep Extension,1.0,60.0,6.0,2021-06-23,360.0,0.0,0.0,360.0,0.0,360.0,Wednesday,6.0,90
Tricep Extension,2.0,50.0,8.0,2021-06-23,400.0,0.0,0.0,400.0,0.0,400.0,Wednesday,6.0,60
Tricep Extension,3.0,50.0,7.0,2021-06-23,350.0,0.0,0.0,350.0,0.0,350.0,Wednesday,6.0,60
Squat,1.0,45.0,10.0,2021-06-23,450.0,45.0,45.0,0.0,360.0,450.0,Wednesday,6.0,120
Squat,2.0,65.0,10.0,2021-06-23,650.0,65.0,65.0,0.0,520.0,650.0,Wednesday,6.0,90
Squat,3.0,85.0,8.0,2021-06-23,680.0,68.0,68.0,0.0,544.0,680.0,Wednesday,6.0,90
Single Arm Rows,1.0,20.0,6.0,2021-06-23,120.0,108.0,12.0,0.0,0.0,120.0,Wednesday,6.0,120
Single Arm Rows,2.0,20.0,6.0,2021-06-23,120.0,108.0,12.0,0.0,0.0,120.0,Wednesday,6.0,90
Single Arm Rows,3.0,20.0,12.0,2021-06-23,240.0,216.0,24.0,0.0,0.0,240.0,Wednesday,6.0,120
Bench Press,1.0,85.0,5.0,2021-06-24,425.0,0.0,42.5,382.5,0.0,425.0,Thursday,6.0,90
Bench Press,2.0,95.0,5.0,2021-06-24,475.0,0.0,47.5,427.5,0.0,475.0,Thursday,6.0,120
Bench Press,3.0,110.0,7.0,2021-06-24,770.0,0.0,77.0,693.0,0.0,770.0,Thursday,6.0,60
Bench Press,4.0,110.0,5.0,2021-06-24,550.0,0.0,55.0,495.0,0.0,550.0,Thursday,6.0,60
Bench Press,5.0,110.0,5.0,2021-06-24,550.0,0.0,55.0,495.0,0.0,550.0,Thursday,6.0,120
Shoulder Press,1.0,40.0,10.0,2021-06-24,400.0,40.0,0.0,360.0,0.0,400.0,Thursday,6.0,150
Shoulder Press,2.0,45.0,10.0,2021-06-24,450.0,45.0,0.0,405.0,0.0,450.0,Thursday,6.0,60
Shoulder Press,3.0,50.0,10.0,2021-06-24,500.0,50.0,0.0,450.0,0.0,500.0,Thursday,6.0,120
Shoulder Press,4.0,45.0,10.0,2021-06-24,450.0,45.0,0.0,405.0,0.0,450.0,Thursday,6.0,120
Shoulder Press,5.0,40.0,10.0,2021-06-24,400.0,40.0,0.0,360.0,0.0,400.0,Thursday,6.0,30
Barbell Row,1.0,75.0,10.0,2021-06-24,750.0,675.0,0.0,0.0,75.0,750.0,Thursday,6.0,90
Barbell Row,2.0,75.0,10.0,2021-06-24,750.0,675.0,0.0,0.0,75.0,750.0,Thursday,6.0,180
Barbell Row,3.0,75.0,10.0,2021-06-24,750.0,675.0,0.0,0.0,75.0,750.0,Thursday,6.0,120
Barbell Row,4.0,75.0,10.0,2021-06-24,750.0,675.0,0.0,0.0,75.0,750.0,Thursday,6.0,120
Barbell Row,5.0,75.0,10.0,2021-06-24,750.0,675.0,0.0,0.0,75.0,750.0,Thursday,6.0,120
Squat,1.0,60.0,5.0,2021-06-25,300.0,30.0,30.0,0.0,240.0,300.0,Friday,6.0,90
Squat,2.0,70.0,5.0,2021-06-25,350.0,35.0,35.0,0.0,280.0,350.0,Friday,6.0,60
Squat,3.0,80.0,5.0,2021-06-25,400.0,40.0,40.0,0.0,320.0,400.0,Friday,6.0,120
Squat,4.0,90.0,5.0,2021-06-25,450.0,45.0,45.0,0.0,360.0,450.0,Friday,6.0,30
Squat,5.0,100.0,5.0,2021-06-25,500.0,50.0,50.0,0.0,400.0,500.0,Friday,6.0,90
Deadlift,1.0,80.0,10.0,2021-06-25,800.0,240.0,80.0,0.0,480.0,800.0,Friday,6.0,90
Deadlift,2.0,80.0,10.0,2021-06-25,800.0,240.0,80.0,0.0,480.0,800.0,Friday,6.0,120
Deadlift,3.0,80.0,10.0,2021-06-25,800.0,240.0,80.0,0.0,480.0,800.0,Friday,6.0,120
